query_id,query,source_filter,mode,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,relevant_retrieved,latency_ms,top_1_title,top_1_doc_id,top_1_parent_id
drive_03,What risks were identified for Project Orion?,google_drive,semantic,1.0,0.8,1.0,1.0,2.3175,4,55.42,06 Project Orion Risk Register,00328d01f2e876dd5d19b6fef3d5bad2,drive:e53ae7b4e9fa41c5eaf453c012c53d71
drive_03,What risks were identified for Project Orion?,google_drive,hybrid,1.0,0.8,1.0,1.0,2.5616,4,76.69,06 Project Orion Risk Register,00328d01f2e876dd5d19b6fef3d5bad2,drive:e53ae7b4e9fa41c5eaf453c012c53d71
drive_04,Explain the hybrid search technical architecture.,google_drive,bm25,1.0,0.6,1.0,1.0,2.1309,3,56.65,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
drive_04,Explain the hybrid search technical architecture.,google_drive,semantic,1.0,0.6,1.0,1.0,2.1309,3,47.71,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
drive_04,Explain the hybrid search technical architecture.,google_drive,hybrid,1.0,0.6,1.0,1.0,2.1309,3,44.25,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
github_01,Which GitHub item discusses Pinecone native hybrid RAG?,github,bm25,1.0,0.8,1.0,1.0,2.5616,4,44.48,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40
github_01,Which GitHub item discusses Pinecone native hybrid RAG?,github,semantic,1.0,0.8,1.0,1.0,2.5616,4,65.45,Document architecture and setup for Pinecone Native Hybrid RAG · HiteshAvula09/pinecone-native-hybrid-rag,af59e840ef6d936592f0982dcb910166,github:1933a5cab21cf891622980956ebf76ec
github_01,Which GitHub item discusses Pinecone native hybrid RAG?,github,hybrid,1.0,0.8,1.0,1.0,2.5616,4,65.06,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40
github_02,Find the initial commit for the Pinecone hybrid RAG project.,github,bm25,1.0,0.8,1.0,1.0,2.5178,4,57.39,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40
github_02,Find the initial commit for the Pinecone hybrid RAG project.,github,semantic,1.0,1.0,1.0,1.0,2.9485,5,46.17,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40
github_02,Find the initial commit for the Pinecone hybrid RAG project.,github,hybrid,1.0,0.8,1.0,1.0,2.5178,4,60.75,Commit 6fb02987 · HiteshAvula09/pinecone-native-hybrid-rag,79d35804ae0a2417fb0caa049cc13e1c,github:05a7d1b420dc5c42a9488ea624d5ea40
cross_01,What content discusses hybrid search architecture?,all,bm25,1.0,1.0,1.0,1.0,2.9485,5,38.58,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
cross_01,What content discusses hybrid search architecture?,all,semantic,1.0,0.8,1.0,1.0,2.5616,4,46.13,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
cross_01,What content discusses hybrid search architecture?,all,hybrid,1.0,1.0,1.0,1.0,2.9485,5,46.31,08 Hybrid Search Technical Architecture,204096db18ac740d508705452ec59456,drive:c7fc88435486939c4338fa2c08b00dea
